processed_date,keyword,company,title,date_posted,match_score,matched_skills,gaps_in_skill,job_url,description,location
2026-04-20,analyst,JPMorganChase,Wealth Management - Macro Strategy – Full Time Analyst – Hong Kong,2026-04-19,25,Data analysis,"Macroeconomics, Financial market analysis, Investment advisory, Wealth Management knowledge",https://www.linkedin.com/jobs/view/4371884142,"**Job Description**
 Step into the heart of Asia’s dynamic markets as an Analyst on our Asia Macro Strategy team. In this junior research role, you’ll be instrumental in driving our research agenda and delivering impactful insights to clients. If you’re passionate about macroeconomics, financial markets, and the fast\-evolving APAC region, this is an exciting opportunity to launch your career and develop specialized expertise. With APAC as a major growth engine for our business, we’re looking for a high\-caliber candidate eager to make a difference.
   

  

 As a Macro Strategy Analyst in Wealth Management, you’ll collaborate with a global network of Strategists, Economists, and Asset Class Specialists. Your responsibilities will include performing in\-depth analysis, conducting research, and crafting reports that articulate J.P. Morgan Private Bank’s investment perspectives. You’ll support senior Strategists in shaping core macroeconomic views, generating investment ideas, and developing asset allocation strategies. Your day\-to\-day will involve data analysis, content publication, and trade idea generation, with a clear path to building specialized expertise over time.
   

  

**Job Responsibilities**
* Conduct research and analysis on economic and financial market developments, supporting the generation of actionable investment recommendations.
* Assist in formulating macro and asset class views, with a focus on Asia macroeconomics as well as global interest rates and currencies.
* Contribute to the creation of publications and market commentaries for clients, the media, and internal stakeholders, helping to communicate J.P. Morgan Private Bank’s perspectives and support informed investment decisions.
* Present economic and market analysis, along with investment recommendations, to both internal teams and external clients.
* Collaborate with senior team members on ad\-hoc research projects and contribute to the development of proprietary models and analytical tools.
* Stay up to date on key macroeconomic data releases, policy developments, and market\-moving events.


**Required Qualifications, Capabilities, And Skills**
* Bachelor’s degree in Economics or related disciplines
* Dynamic team player who is self\-motivated and possesses strong communication and interpersonal skills, with the ability to proactively engage multiple stakeholders at all levels of seniority to drive the research agenda and operate with a strong sense of urgency.
* Strong proficiency in both English and Chinese (reading and writing) is required.


**Preferred Qualifications, Capabilities, And Skills**
* Advanced degrees preferred.
* Experience in the financial industry
* Research and/or investment advisory experience preferred.
* Understanding of the Wealth Management business is preferred.


**ABOUT US**
 J.P. Morgan is a global leader in financial services, providing strategic advice and products to the world’s most prominent corporations, governments, wealthy individuals and institutional investors. Our first\-class business in a first\-class way approach to serving clients drives everything we do. We strive to build trusted, long\-term partnerships to help our clients achieve their business objectives.
   

  

 We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation.
   

  

**About The Team**
 J.P. Morgan Asset \& Wealth Management delivers industry\-leading investment management and private banking solutions. Asset Management provides individuals, advisors and institutions with strategies and expertise that span the full spectrum of asset classes through our global network of investment professionals. Wealth Management helps individuals, families and foundations take a more intentional approach to their wealth or finances to better define, focus and realize their goals.",
2026-04-20,analyst,Goldman Sachs,"Asset & Wealth Management, External Investing Group (XIG), Alternatives Capital Formation - Hedge Fund, Analyst, Hong Kong",2026-04-18,45,"analytical skills, presentation skills, communication skills, organizational skills, attention to detail","capital formation, business development, capital markets, asset management, alternative investments",https://www.linkedin.com/jobs/view/4371381487,"**Job Description**
**About Goldman Sachs**
 Goldman Sachs Asset Management is one of the world’s leading asset managers with over $3 trillion in assets under supervision. As the primary investment area within Goldman Sachs, we provide investment and advisory services for pension plans, sovereign wealth funds, insurance companies, endowments, foundations, financial advisors, and individuals.
   

  

**External Investing Group (XIG)**
 XIG provides investors with investment solutions, across leading hedge fund managers, private equity funds, real estate managers, public equity strategies and fixed income strategies. XIG manages globally diversified programs, targeted sector\-specific strategies, customized portfolios, and a range of advisory services. Our investors access opportunities through new fund commitments, fund\-of\-fund investments, strategic partnerships, secondary\-market investments, co\-investments, and seed\-capital investments. With over 400 professionals across 11 offices around the world, XIG provides manager diligence, portfolio construction, risk management, and liquidity solutions to investors, drawing on Goldman Sachs’ market insights and risk management expertise. We extend these global capabilities to the world’s leading sovereign wealth funds, pension plans, governments, financial institutions, endowments, foundations, and family offices, for which we invest or advise on over $500 billion of alternative investments, public equity strategies and fixed income strategies.
   

  

**XIG Hedge Funds**
 The XIG hedge fund team is the part of the XIG responsible for sourcing, examining, and investing in leading external hedge fund managers. The team has been in this business since 1969, making it one of the first multi\-managers in the industry. As of December 2024, the team managed over $32 billion across portfolios of hedge funds, customized solutions, and advisory relationships. The team covers a wide number of strategies including fundamental equity long short, credit, event driven, macro, CTAs, multi\-strategy and quantitative funds. Investors include public pensions, corporate pensions, financial institutions, endowments, foundations, and high net worth individuals. This diverse and broad investor base is beneficial for XIG, both as a source of capital and as a resource for us in the markets where we invest. Our group has sought to establish deep and longstanding relationships with leading institutional hedge fund investors and have benefited from Goldman Sachs’ strong relationships with ultra\-high net worth individuals. Within hedge funds, our history in managing portfolios dates as far back as 1969, meaning we are among the most experienced hedge fund advisors in the industry.
   

  

**Alternatives Capital Formation (ACF)**
 ACF manages capital raising and strategy for alternative investments including private equity, private credit, real estate, infrastructure, growth equity, sustainability, secondaries, GP stakes, and hedge funds / liquid alternatives. Within ACF, team members work within product verticals and collaborate across strategies to identify portfolio\-wide solutions. They also partner with other teams within ACF, and across CSG, investing teams and wealth management teams. Professional development initiatives provide opportunities to enhance expertise across alternative investment products, and to sharpen market knowledge from industry experts investing across the Firm. This specific ACF role sits with XIG, focused on hedge funds.
   

  

**Responsibilities**
**RESPONSIBILITIES AND QUALIFICATIONS:**
* As a junior product specialist, individual would be responsible for helping senior team members drive commercial strategy, capital formation \& client engagement. This involves assisting in the launch, management of strategy, and ongoing business development for various funds/products across regions and client channels.
* Additional responsibilities include ability to:
+ Support content development for existing client and prospect presentations, internal governance, Request for Proposals, and other investment\-related analyses
+ Prepare regular quantitative and qualitative content market views and platform offerings
+ Support the XIG ACF team’s broader initiatives focused on enhancing client service, data efficiency, and infrastructure development


**Qualifications**
* 1\-3 years in a similar or related role
* Specific interest in capital formation and business development
* Strong interest in capital markets, asset management, and understanding of alternative investments
* Excellent analytical, presentation, communication and interpersonal skills
* Strong organizational skills to oversee production of a high volume of quality work within tight timeframes, often including multiple simultaneous projects
* Attention to detail – proven experience of delivering high levels of accuracy
* Knowledge and understanding of Excel, PowerPoint and Word and adaptability to other software products
* Strong communication skills with ability to convey ideas in an impactful manner
* Excellent command of English and Chinese (Mandarin and Cantonese is a strong plus)


**About Goldman Sachs**
 At Goldman Sachs, we commit our people, capital and ideas to help our clients, shareholders and the communities we serve to grow. Founded in 1869, we are a leading global investment banking, securities and investment management firm. Headquartered in New York, we maintain offices around the world.
   

  

 We believe who you are makes you better at what you do. We're committed to fostering and advancing diversity and inclusion in our own workplace and beyond by ensuring every individual within our firm has a number of opportunities to grow professionally and personally, from our training and development opportunities and firmwide networks to benefits, wellness and personal finance offerings and mindfulness programs. Learn more about our culture, benefits, and people at GS.com/careers.
   

  

 We’re committed to finding reasonable accommodations for candidates with special needs or disabilities during our recruiting process. Learn more: https://www.goldmansachs.com/careers/footer/disability\-statement.html
   

  

 ©The Goldman Sachs Group, Inc., 2026\. All rights reserved.
   

  

 Goldman Sachs is an equal opportunity employer and does not discriminate on the basis of race, color, religion, sex, national origin, age, veterans status, disability, or any other characteristic protected by applicable law.","Hong Kong, Hong Kong SAR"
2026-04-20,analyst,Deutsche Bank,Investment Banking - Equity Capital Markets- Analyst,2026-04-17,30,"communication skills, independent thinking, self-driven, accountable","ECM experience, equity-linked transactions experience, investment banking domain knowledge, client management skills",https://www.linkedin.com/jobs/view/4403476988,"**Position Overview**
**Details of the Division and Team:**
 As one segment of the Corporate \& Investment Bank, our Corporate Finance business provides the full range of products and services of a leading global investment bank. Our clients include large\-cap and mid\-cap corporates, financial institutions, governments, government agencies and financial sponsors.
   

  

 We recognize that selecting the right investment banking partner can be the key to a company’s success. Our relationships are enhanced by industry sector, country, and regional expertise, closely aligned to high\-quality client solutions: both buy side and sell side Mergers \& Acquisitions and restructuring advisory \- and capital raising services.
   

  

 We are able to advise on innovative cross\-border and regional transactions in the US, Europe and Asia Pacific.
   

  

**What we will offer you:**
 A healthy, engaged and well\-supported workforce is better equipped to do their best work and, more importantly, enjoy their lives inside and outside the workplace. That’s why we are committed to providing an environment with your development and wellbeing at its center.
   

  

**You can expect:**
* Competitive Salary and non\-contributory pension
* 20 days annual leave plus generous number of public holidays
* Life Assurance and Private Healthcare for you and your family
* A range of flexible benefits including retail discounts, gym benefits, wellbeing incentives
* The opportunity to support a wide ranging CSR program plus take volunteering leave days


**Your key responsibilities:**
* Support origination and execution of ECM and equity\-linked transactions;
* Establish and develop network and dialogues with internal stakeholders, from coverage to sales/trading to infrastructure support functions;
* Handling day\-to\-day client enquiries and dialogues, developing skills in managing and driving conversations with clients;
* Participation in marketing efforts, leading preparation of client presentations and pitches;
* Support in all facets of trade execution for ECM and equity\-linked transactions;


**Your skills and experience:**
* Relevant ECM and equity\-linked products origination experience with deep understanding of the nature of the business;
* Candidate needs to be fluent in Mandarin and English to be able to partner with clients in the region
* Able to mentor and lead junior bankers in team.
* Independent thinking and proactive to contribute;
* Highly motivated, self\-driven and accountable;
* Strong communication skills and able to articulate to demanding clients


**How we’ll support you:**
* Flexible working to assist you balance your personal priorities
* Coaching and support from experts in your team
* A culture of continuous learning to aid progression
* A range of flexible benefits that you can tailor to suit your needs
* Training and development to help you excel in your career


**About us and our teams:**
 Deutsche Bank is the leading German bank with strong European roots and a global network. click here to see what we do.
   

  

 We strive for a culture in which we are empowered to excel together every day. This includes acting responsibly, thinking commercially, taking initiative and working collaboratively.
   

  

 Together we share and celebrate the successes of our people. Together we are Deutsche Bank Group.
   

  

 We welcome applications from all people and promote a positive, fair and inclusive work environment.","Hong Kong, Hong Kong SAR"
2026-04-20,analyst,LFX Digital,Corporate Development Analyst,,55,"Supply Chain Management, Inventory Management & Optimization, Fintech, AML/KYC Compliance, Fraud Detection, Payment Reconciliation, Real Estate Revenue Modeling, Data Governance, Python, SQL, PySpark, Machine Learning, LLM, LangChain, Docker","M&A Strategy, Investment Banking, Corporate Development, Financial Modeling (Deep Dive), Direct Investment Strategy",https://www.linkedin.com/jobs/view/4397226051,"LFX Digital is at the forefront of transforming the supply chain and retail industries through innovative digital ventures. Our mission is to drive sustainable consumption and create long\-term value along the global value chain.
 



  





 LFX was established in 2021 as an affiliate of Li \& Fung, a global supply chain solution provider with offices in 40 countries, with focus in apparels and home products. We leverage Li \& Fung’s global network and operating experience to build, operate, and invest in digital companies in the global value chain.
 



  





 LFX is an operating and investment platform that we build our own digital companies or invest in digital companies either via our balance sheet, or our venture capital innovation fund. Our strength is to leverage the platform and ecosystem to create value and drive synergy among the individual tech companies in the global value chain by solving supply chain problems for the same set of global brands and retailers.
 



  





 See https://lfxdigital.com/
 



  





**Job Responsibilities:** 




  




* Lead the group's M\&A activities in the full cycle of the transaction from initial strategy, working with advisers, evaluating options, execution and post merger.
* Present to the Investment Committee for major projects and seek for approval.
* Partner with both the corporate development team and venture fund in sourcing opportunities and prepare investment proposals.
* Work as a finance business partner to senior management on key issues that impact LFX’s strategic growth direction including new business and challenging areas.
* Manage a global strategic framework in long\-run through identification of key industry trends and materialize organic and inorganic initiatives.
* As a project leader for cross functional projects and present recommendations to senior management
* Ability to partner with senior management and external stakeholders effectively.



  





**Required Qualification:** 




  




* Bachelor's degree in Finance, Business, Accounting, Economics, or a related field
* 2\-3 years of experience in corporate development, M\&A or relevant experience
* Open to investment bankers with relevant industry and technical background
* Strong business acumen with a proven track record of success, particularly in relation to M\&A
* Excellent command of languages including English and Chinese. Cantonese is highly desirable.","Hong Kong, Hong Kong SAR"
2026-04-20,analyst,Argyll Scott,Investment Analyst (Private Equity),,35,"Financial Modeling, Data Analysis, Market Research, Data Governance","Private Equity Experience, M&A Experience, Deal Advisory, Investment Banking Modeling, North Asia Market Research",https://www.linkedin.com/jobs/view/4404020498,"We're seeking a high\-calibre Investment Analyst to join our start\-up Private Equity team in Hong Kong. You'll support portfolio enhancement and value creation, conduct North Asia research, and help with investment decision\-making across pre\- and post\-investment stages. Prior Private Equity experience is helpful but not required\-consulting (e.g., Deal Advisory / Valuation / Transaction Services) is a strong fit.
 



**Key Responsibilities** 



* Support growth and transformation initiatives (market expansion, revenue growth, operational improvement), track KPIs and milestones, and help prepare materials for senior management and Boards.
* Conduct market/industry/competitor research across North Asia, identify thematic opportunities and growth drivers, and produce executive\-ready investment research.
* Assist with sourcing and evaluating strategic investments/M\&A, build and review valuation and financial models (DCF, comps, trading/transaction analysis), and support IC memos and presentations.
* Coordinate internal stakeholders and external advisors/counterparties during diligence and execution, particularly across Japan and North Asia.



**Requirements:** 



* 1\-5 years in management consulting (incl. Big 4 preferred) or related corporate finance/M\&A/valuation experience; demonstrable exposure to financial analysis and deal execution.
* Prior exposure to portfolio value creation, post\-investment initiatives, or strategic project
   

 work is highly desirable.
* Strong modelling/valuation skills and written communication to produce clear, structured, executive\-ready outputs.
* North Asia/Japan exposure is a plus.
   

 Self\-driven, independent, detail\-oriented, able to manage multiple workstreams in a fast\-paced, lean team.



 Argyll Scott Asia is acting as an Employment Agency in relation to this vacancy.","Hong Kong, Hong Kong SAR"
2026-04-20,analyst,CLSA,"Analyst/Associate, Business Management, Investment Banking",,55,"SQL, Python, SQLAlchemy, Pandas, Data Governance, Inventory Management & Optimization, Financial Modeling, Payment Reconciliation, Data Pipeline Engineering, Business Intelligence & Adoption","Investment Banking Operations, Capital Markets, Front Office operations, Merger & Acquisition support",https://www.linkedin.com/jobs/view/4362612582,"**Position Description** 




 Investment Banking Operations team provides business management support to the investment banking business globally, supporting Sector Coverage, Equity Capital Markets, Equity\-linked Products, Merger \& Acquisition and Debt Financing. This business management role serves as a business contact and interacts with other front office departments and support functions, including Legal \& Compliance, Internal Audit, Finance, IT, Human Resources across all regions (nine offices in total in APAC and Europe), as well as with the Investment Banking Department at CITIC Securities.
 



  





**Key Areas of Responsibilities** 



* Work with the Investment Banking COO, Investment Banking business management team and the investment bankers in daily operations
* Assist the investment banking team to develop business plans, strategies, manage lines of businesses within Investment Banking
* Strong communication skill with counterparts within and outside of Investment Banking, including the Investment Banking management team, Legal \& Compliance, Communications, Finance, IT, Institutional Equities, Fixed Income, Equity Derivatives, etc
* Have strong interest in the financial market and common sense with numbers
* Develop management reports and help prepare management presentation from time to time
* Manage the front\-to\-back internal process for investment banking transactions.
* Be responsible for the administration of Client Relationship Management System and Project Management System
* Help review and improve day\-to\-day processes by identifying efficiencies, supporting procedural updates, and ensuring compliance with company policies and industry regulations.



  





**Requirements** 



* Bachelor's degree or above in Business, Management, Finance, Accounting, or any relevant discipline
* Minimum 1\-3 years of relevant experience in Front Office operations
* Analytically minded
* Strong communication and presentation skills
* Multi\-tasking under pressure as well as to work independently
* Strong problem\-solving skills
* Skilled in using Microsoft Office tools including PowerPoint, Excel, etc.
* Internship experience with relevant knowledge of Capital Markets and Investment Banking is preferable
* Fluent in Mandarin and English, Cantonese is a plus
* Highly motivated and self\-driven","Hong Kong, Hong Kong SAR"
2026-04-20,analyst,"CAPPETROL Cámara Peruana de Bienes y Servicios de Petróleo, Gas y Energía",Strategy Analyst / Asset Management,,78,"Financial Modeling, Data Analytics, Market Trend Analysis, Strategy Development, Report Preparation, Stakeholder Collaboration, Excel, Data Visualization","Asset Management Strategy, Energy/Oil/Gas Sector Experience",https://www.linkedin.com/jobs/view/4401295257,"**Role Description**

 This is a part\-time hybrid role for a Strategy Analyst / Asset Management position based in Hong Kong SAR, with flexibility to work from home. The individual will analyze market trends, evaluate asset management strategies, perform financial modeling, and support strategic planning initiatives. Additional responsibilities include preparing detailed reports, making data\-driven recommendations, and collaborating with internal and external stakeholders to align strategies with organizational objectives.
   




**Qualifications**
* Strong proficiency in Analytical Skills and Data Analytics for evaluating data and identifying trends
* Expertise in Finance and Strategic Planning to develop and assess effective asset management strategies
* Excellent Communication skills to present findings and coordinate with team members and stakeholders effectively
* Proficiency in tools such as Excel, financial modeling software, and data visualization platforms
* Detail\-oriented with the ability to manage multiple tasks and meet deadlines
* A degree in Finance, Business Administration, Economics, or a relevant field
* Previous experience or knowledge of the energy, oil, or gas sector is a plus",
2026-04-20,analyst,HKT,Business Analyst (FP&A focus),,92,"Financial Modelling, KPI frameworks, Business Intelligence, Python, SQL, Tableau, Power BI, Data Analytics, Process Automation, Stakeholder Collaboration","Direct FP&A experience, QlikView experience, Power Automate experience",https://www.linkedin.com/jobs/view/4328606661,"**Your Role** 




 Financial Planning \& Analysis (FP\&A) Support
 


* Conduct monthly/quarterly/annual planning for business
* Analyze profitability, costs, and product lines for commercial strategy.
* Monitor financial/non\-financial KPIs to align with corporate goals



  





 Management Reporting
 


* Design and deliver interactive dashboards for management.
* Ensure timely, accurate data delivery for fast decisions.
* Maintain reporting systems to meet changing business needs.



  





 Productivity Improvement \& Transformation
 


* Drive digital transformation by streamlining processes, integrating analytics, and automating tools.
* Enhance team efficiency, accuracy, and data\-driven decisions



  





 Stakeholder Collaboration
 


* Partner closely with Finance, Product Marketing, Operations, and IT teams to ensure data accuracy and relevance.
* Translate business needs into analytical requirements and actionable outputs.
* Support senior leadership with ad hoc analysis, presentations, and strategic projects.



  





**To Succeed in This Role** 



* Bachelor’s degree in Business Administration, Finance, Information technology, or related field;
* Minimum 3\-5 years’ experience in FP\&A, business planning, or data analytics
* Proven expertise in business intelligence tools (e.g., Power BI, Tableau, QlikView) and Python and power automate
* Strong understanding of financial modelling, KPI frameworks, and operational performance analysis
* Demonstrated ability to drive process automation and manage transformation projects
* Excellent communication skills for engaging cross\-functional stakeholders and senior management
* Analytical mindset with ability to work under tight deadlines in a fast\-paced environment","Hong Kong, Hong Kong SAR"
2026-04-20,analyst,Gravitas Recruitment Group (Global) Ltd,Business Analyst,,55,"Business Analysis, UAT planning and execution, Stakeholder management, Process flow documentation","Insurance industry products, SDLC/Agile concepts experience",https://www.linkedin.com/jobs/view/4403335408,"**About the Company** 




  





  





 Join a Top\-Tier Insurance Firm – Multiple Business Analyst Openings. We are hiring Business Analysts to support transformation initiatives across life operations and general insurance.
 



  





  





**About the Role** 




  





  





 Key Responsibilities:
 



  





  




* Gather and document business requirements for quotation and campaign systems (functional requirements, process flows, user stories).
* Support User Acceptance Testing (UAT): test case preparation, execution, defect logging, and retesting.
* Assist in implementation activities, including post\-launch monitoring and end\-user support.
* Collaborate with the Campaign team to streamline, standardize, and automate campaign procedures.
* Maintain proper documentation (requirements, test cases, change logs) for auditability and knowledge transfer.
* Provide ad\-hoc project support as assigned by Project Managers.



  









**Qualifications** 




  





  




* Bachelor’s degree in Business, Information Systems, or related field.
* Minimum 3 years’ experience in business analysis, system support, or project support (insurance/financial services preferred).



  









**Required Skills** 




  





  




* Knowledge of insurance industry products and campaigns.
* Familiarity with SDLC and Agile delivery concepts.
* Hands\-on UAT planning and execution experience.
* Strong communication skills with ability to manage multiple stakeholders.



  









**Preferred Skills** 




  





  





 None specified.
 



  





  





**Pay range and compensation package** 




  





  





 None specified.
 



  





  





**Equal Opportunity Statement** 




  





  





 Why Join? This is a rare opportunity to be part of a top\-tier insurance firm with multiple headcounts available, offering career growth, exposure to large\-scale projects, and a collaborative environment.
 



  





  





 📩 Apply now and be part of the transformation journey
 



  





 !
 



 \#InsuranceCareers \#BusinessAnalyst \#LifeInsurance \#GeneralInsurance \#UAT \#Agile \#HongKongJobs \#HiringNow \#CareerGrowt
 



  





 h","Hong Kong, Hong Kong SAR"
2026-04-20,data,Mercer,Investment Consulting Analyst,2026-04-19,15,Data Governance,"Client Invoicing, Expense Report Processing, Investment Data Analysis, Financial Reporting",https://www.linkedin.com/jobs/view/4372705712,"Assists the consulting team with administrative tasks, including processing expense reports, managing monthly client invoicing, code population and client marketing information, managing travel arrangements, and managing client subject files and plan documents.
   

  

 Coordinates the production of documents using available resources.Provides peer review of documents before final production / distribution to ensure quality control of final product.
   

  

 Produces accurate and detailed client reports through analysis of client\-specific investment data, in support of consulting colleagues.
   

  

 Collects data needed for quarterly performance reports and analyzes client portfolio performance, including performance of each of the funds within the client's investment options.
   

  

 Responds to routine queries from clients, investment managers, and other third parties.
   

  

 Communicates with investment and money managers and custodians to gather and/or clarify client\-specific data for reporting.
   

  

 Contributes to accurate client/project budget management through accurate and prompt time entry.
   

  

 Mercer is a business of Marsh (NYSE: MRSH), a global leader in risk, reinsurance and capital, people and investments, and management consulting, advising clients in 130 countries. With annual revenue of over $27 billion and more than 95,000 colleagues, Marsh helps build the confidence to thrive through the power of perspective. For more information about Mercer, visit mercer.com, or follow us on LinkedIn and X.
   

  

 Marsh is committed to creating a diverse, inclusive and flexible work environment. We aim to attract and retain the best people and embrace diversity of age, background, disability, ethnic origin, family duties, gender orientation or expression, marital status, nationality, parental status, personal or social status, political affiliation, race, religion and beliefs, sex/gender, sexual orientation or expression, skin color, or any other characteristic protected by applicable law.
   

  

 Marsh is committed to hybrid work, which includes the flexibility of working remotely and the collaboration, connections and professional development benefits of working together in the office. All Marsh colleagues are expected to be in their local office or working onsite with clients at least three days per week. Office\-based teams will identify at least one “anchor day” per week on which their full team will be together in person.
   

  

**R\_337460**","Hong Kong, Hong Kong SAR"
